"","ticker","open","high","low","close","volume","OPCL","pvCLCL","prevAdjClose","SPpvCLCL","sharesOut","PERMNO","SICCD","PERMCO","prevRawOpen","prevRawClose","prevAdjOpen"
"1","SPY",475.64001,476.85999,474.67001,474.95999,65237431,-0.001431,-0.00252,476.16,-0.002626,953182,84398,"6726",46699,477.92999,476.16,477.93
"2","IWM",222.49001,224.12,222.39,222.45,23997427,-0.00018,-0.002153,222.93,-0.002626,310400,88222,"6726",37493,222.94,222.92999,222.94
"3","EEM",48.98,49.35,48.84,48.85,30439060,-0.002658,-0.004889,49.09,-0.002626,592200,89730,"6726",37493,48.5,49.09,48.5
"4","TLT",147.81,149.03,147.42999,148.19,13389734,0.002568,0.001961,147.9,-0.002626,132800,89468,"6726",37493,147.25,147.89999,147.25
"5","USO",54.89,55.17,54.04,54.36,2497852,-0.009703,-0.01343,55.1,-0.002626,43824,91208,"6221",50617,55.32,55.1,55.32
"6","GLD",170.53,171.03999,170.03999,170.96001,7039330,0.002518,0.006832,169.8,-0.002626,335700,90448,"6726",45874,168.42999,169.8,168.44
"7","XLF",39.04,39.245,38.97,39.05,28497790,0.000256,-0.001789,39.12,-0.002626,1145045,86455,"6726",34957,39.31,39.12,39.31
"8","XLB",90.05,90.84,90.03,90.61,3228878,0.0062,0.004434,90.21,-0.002626,90274,86449,"6726",34957,90.56,90.21,90.56
"9","XLK",174.55,174.97,173.78999,173.87,5121541,-0.003903,-0.004865,174.72,-0.002626,298206,86457,"6726",34957,175.95,174.72,175.95
"10","XLV",141.32001,141.86,140.84,140.89,7882794,-0.003047,-0.004241,141.49,-0.002626,253265,86451,"6726",34957,141.46001,141.49001,141.46
"11","XLI",105.18,106.23,105.06,105.81,7726054,0.005972,0.004271,105.36,-0.002626,165326,86456,"6726",34957,105.85,105.36,105.85
"12","XLU",71.18,71.83,71.04,71.58,9309400,0.005604,0.003505,71.33,-0.002626,182374,86458,"6726",34957,71.26,71.33,71.26
"13","XLY",205.09,205.81,204.3,204.44,3442753,-0.003174,-0.002391,204.93,-0.002626,115103,86453,"6726",34957,204.97,204.92999,204.97
"14","XLP",76.54,77.23,76.5,77.11,11288954,0.007419,0.006789,76.59,-0.002626,172622,86452,"6726",34957,77.02,76.59,77.02
"15","XLE",55.22,55.785,55.13,55.5,13241176,0.005058,0.002529,55.36,-0.002626,475724,86454,"6726",34957,55.72,55.36,55.72
"16","AA",59.16,60.0452,58.7,59.58,3943966,0.007074,0.006249,59.21,-0.002626,187103,16347,"3355",55718,59.68,59.21,59.68
"17","AAA",25.02,25.02,25.02,25.02,5,0,4e-04,25.01,-0.002626,400,19782,"6726",56315,25.02,25.01,25.02
"18","AAC",9.74,9.75,9.73,9.74,61513,0,0,9.74,-0.002626,100000,20744,"6799",57893,9.74,9.74,9.74
"19","AAIC",3.49,3.5297,3.49,3.5,179020,0.002861,0.002865,3.49,-0.002626,31479,85653,"6162",32183,3.47,3.49,3.47
"20","AAL",18.07,18.36,17.93,17.96,20546178,-0.006106,-0.006087,18.07,-0.002626,647515,21020,"4512",20010,17.975,18.07,17.98
"21","AAN",24.55,24.78,24.33,24.65,177794,0.004065,0.008592,24.44,-0.002626,31483,20064,"7359",57533,24.7,24.44,24.7
"22","AAP",237,240.967,235.215,239.88,676062,0.012079,0.009936,237.52,-0.002626,62355,89217,"5531",42402,241.14,237.52,241.17
"23","AAT",37.32,37.87,37.11,37.53,159651,0.005611,8e-04,37.5,-0.002626,60472,12513,"6798",53645,37.46,37.5,37.46
"24","AB",49.16,49.3697,48.81,48.84,159998,-0.006531,-0.003469,49.01,-0.002626,98654,75278,"6719",20048,48.76,49.01,48.76
"25","ABB",38.11,38.345,38.11,38.17,706875,0.001573,0.000787,38.14,-0.002626,150513,88953,"3613",41444,38.41,38.14,38.41
"26","ABBV",136.03999,136.2093,135.3,135.39999,3963406,-0.004716,-0.003899,135.93,-0.002626,1767880,13721,"2834",54287,135.75,135.92999,135.75
"27","ABC",133.83,134.17,132.84,132.89,581042,-0.007049,-0.006578,133.77,-0.002626,208133,81540,"5122",13650,134,133.77,134
"28","ABEV",2.79,2.8,2.76,2.8,6036386,0.003578,0.014493,2.76,-0.002626,1237191,85254,"2082",32018,2.75,2.76,2.75
"29","ABG",169.14,173.10001,169.14,172.73,421889,0.021003,0.015521,170.09,-0.002626,22641,89327,"5511",42915,169.03999,170.09,169.04
"30","ABM",40.59,41.26,40.46,40.85,275656,0.006385,0.007647,40.54,-0.002626,67318,47730,"7349",20068,40.62,40.54,40.62
"31","ABMD",361.01999,364.935,358.35001,359.17001,167792,-0.005137,-0.007982,362.06,-0.002626,45497,75107,"3840",20018,361.32999,362.06,361.33
"32","ABR",18.43,18.51,18.25,18.32,1155406,-0.005986,-0.005969,18.43,-0.002626,150506,90102,"6798",45059,18.47,18.43,18.47
"33","ABT",141,141.77,140.72,140.74001,3271756,-0.001846,-0.001844,141,-0.002626,1768287,20482,"2834",20017,141.41,141,141.41
"34","AC",43.55,43.7,42.07,43,5576,-0.01271,-0.016918,43.74,-0.002626,3095,15802,"6799",55471,44.65,43.74,44.66
"35","ACA",51.94,52.92,51.81,52.7,159235,0.014526,0.012488,52.05,-0.002626,48330,18144,"3523",56541,52.77,52.05,52.78
"36","ACB",5.5185,5.6876,5.39,5.41,4694068,-0.019857,-0.016364,5.5,-0.002626,198069,18151,"2833",56545,5.45,5.5,5.45
"37","ACC",57.24,57.83,57.1227,57.29,448120,0.000873,0.002976,57.12,-0.002626,140784,90300,"6798",45464,57,57.12,57
"38","ACCO",8.27,8.305,8.19,8.26,232258,-0.00121,0.001212,8.25,-0.002626,95731,90825,"5112",47179,8.3,8.25,8.3
"39","ACEL",12.93,13.15,12.93,13.02,70419,0.006936,0,13.02,-0.002626,94067,16874,"7929",55976,13.03,13.02,13.03
"40","ACH",13.58,13.86,13.58,13.73,63939,0.010985,0.00219,13.7,-0.002626,5346,89246,"3334",42511,13.54,13.7,13.54
"41","ACI",29.94,30.7,29.94,30.19,1187202,0.008315,0.000663,30.17,-0.002626,479847,19413,"5912",57098,30.41,30.17,30.41
"42","ACM",76.75,77.6299,76.27,77.35,376786,0.007787,0.006375,76.86,-0.002626,142202,91975,"8711",52247,77.48,76.86,77.48
"43","ACN",412.70001,416.95001,412.10959,414.54999,1163448,0.004473,0.00174,413.83,-0.002626,658333,89071,"8742",41871,416.26001,413.82999,416.27
"44","ACP",10.18,10.2,10.14,10.18,198559,0,0,10.18,-0.002626,17437,12514,"6722",53646,10.19,10.18,10.19
"45","ACR",12.58,12.72,12.47,12.47,20227,-0.008782,-0.01811,12.7,-0.002626,9424,91119,"6798",50319,12.42,12.7,12.42
"46","ACRE",14.43,14.58,14.4,14.54,585037,0.007594,0.004144,14.48,-0.002626,47002,13332,"6798",54035,14.65,14.48,14.65
"47","ACT",20.45,20.8,20.405,20.67,67149,0.0107,0.005839,20.55,-0.002626,162840,21906,"9999",58704,20.47,20.55,20.47
"48","ACTV",36.46,36.51,36.38,36.45,52780,-0.000274,0.003303,36.33,-0.002626,2100,19926,"6726",56323,36.78,36.33,36.78
"49","ACV",31.54,32.48,31.39,32.25,26225,0.022261,0.023485,31.51,-0.002626,10354,15337,"6726",55249,31.1,31.51,31.1
"50","ADC",71.29,72,70.85,71.36,362206,0.000981,0.001122,71.28,-0.002626,71285,80412,"6798",30378,70.62,71.28,70.62
"51","ADI",174.75,176.66,174.58,175.77,1912125,0.00582,0.005664,174.78,-0.002626,525331,60871,"3674",282,176,174.78,176
"52","ADM",66.7,67.76,66.6,67.59,1330461,0.013255,0.010918,66.86,-0.002626,559441,10516,"2046",20207,67.2,66.86,67.2
"53","ADNT",47,48.3,46.96,47.88,293600,0.01855,0.014622,47.19,-0.002626,94378,16342,"3714",55715,47.34,47.19,47.34
"54","ADP",245.45,247.75,244.59,246.58,878619,0.004593,0.004154,245.56,-0.002626,421384,44644,"7374",20235,248.25,245.56,248.26
"55","ADPT",28.14,29.17,27.55,28.06,925883,-0.002847,-0.009531,28.33,-0.002626,141132,18769,"9999",56786,26.287,28.33,26.36
"56","ADS",66.2,67.4,66.14,66.57,678765,0.005574,-0.006418,67,-0.002626,49785,89002,"7323",41671,66.92,67,66.92
"57","ADT",8.32,8.43,8.28,8.41,793326,0.010759,0.007186,8.35,-0.002626,767022,17223,"7382",56212,8.43,8.35,8.43
"58","ADV",7.73,8.04,7.56,8.02,336711,0.03683,0.041559,7.7,-0.002626,318574,18953,"9999",56823,7.51,7.7,7.51
"59","ADX",19.46,19.49,19.365,19.41,165404,-0.002573,-0.003593,19.48,-0.002626,111027,10065,"6722",20023,19.54,19.48,19.54
